Subj,Ratings,ColorID,BodyNum,ShapeStr,ShapeC,Warmness,WarmnessC
20,0.8785,Y,1,Pointy,-0.5,4,1
20,0.431,H,1,Pointy,-0.5,3,0
20,0.2285,G,1,Pointy,-0.5,2,-1
20,0.4195,C,1,Pointy,-0.5,1,-2
20,0.4155,B,1,Pointy,-0.5,2,-1
20,0.2235,P,1,Pointy,-0.5,3,0
21,0.618,R,1,Pointy,-0.5,4,1
21,0.492,O,1,Pointy,-0.5,5,2
21,0.3265,Y,1,Pointy,-0.5,4,1
21,0.772,H,1,Pointy,-0.5,3,0
21,0.663,G,1,Pointy,-0.5,2,-1
21,0.9275,C,1,Pointy,-0.5,1,-2
21,0.8425,B,1,Pointy,-0.5,2,-1
21,0.9075,P,1,Pointy,-0.5,3,0
22,0.4485,R,1,Pointy,-0.5,4,1
22,0.786,O,1,Pointy,-0.5,5,2
22,0.5175,Y,1,Pointy,-0.5,4,1
22,0.2015,H,1,Pointy,-0.5,3,0
22,0.352,G,1,Pointy,-0.5,2,-1
22,0.868,C,1,Pointy,-0.5,1,-2
22,0.2325,B,1,Pointy,-0.5,2,-1
22,0.7325,P,1,Pointy,-0.5,3,0
23,0.9025,R,1,Pointy,-0.5,4,1
23,0.7935,O,1,Pointy,-0.5,5,2
23,0.97,Y,1,Pointy,-0.5,4,1
23,0.356,H,1,Pointy,-0.5,3,0
23,0.57,G,1,Pointy,-0.5,2,-1
23,0.3475,C,1,Pointy,-0.5,1,-2
23,0.232,B,1,Pointy,-0.5,2,-1
23,0.1695,P,1,Pointy,-0.5,3,0
24,0.0525,R,1,Pointy,-0.5,4,1
24,0.161,O,1,Pointy,-0.5,5,2
24,0.8,Y,1,Pointy,-0.5,4,1
24,0.565,H,1,Pointy,-0.5,3,0
24,0.8395,G,1,Pointy,-0.5,2,-1
24,0.683,C,1,Pointy,-0.5,1,-2
24,0.703,B,1,Pointy,-0.5,2,-1
24,0.533,P,1,Pointy,-0.5,3,0
25,0.4045,R,1,Pointy,-0.5,4,1
25,0.515,O,1,Pointy,-0.5,5,2
25,0.324,Y,1,Pointy,-0.5,4,1
25,0.533,H,1,Pointy,-0.5,3,0
25,0.245,G,1,Pointy,-0.5,2,-1
25,0.2615,C,1,Pointy,-0.5,1,-2
25,0.6415,B,1,Pointy,-0.5,2,-1
25,0.5635,P,1,Pointy,-0.5,3,0
26,0.7355,R,1,Pointy,-0.5,4,1
26,0.525,O,1,Pointy,-0.5,5,2
26,0.781,Y,1,Pointy,-0.5,4,1
26,0.4045,H,1,Pointy,-0.5,3,0
26,0.554,G,1,Pointy,-0.5,2,-1
26,0.68,C,1,Pointy,-0.5,1,-2
26,0.5525,B,1,Pointy,-0.5,2,-1
26,0.693,P,1,Pointy,-0.5,3,0
27,0.083,R,1,Pointy,-0.5,4,1
27,0.046,O,1,Pointy,-0.5,5,2
27,0.812,Y,1,Pointy,-0.5,4,1
27,0.233,H,1,Pointy,-0.5,3,0
27,0.036,G,1,Pointy,-0.5,2,-1
27,0.884,C,1,Pointy,-0.5,1,-2
27,0.549,B,1,Pointy,-0.5,2,-1
27,0.7335,P,1,Pointy,-0.5,3,0
28,0.64,R,1,Pointy,-0.5,4,1
28,0.598,O,1,Pointy,-0.5,5,2
28,0.569,Y,1,Pointy,-0.5,4,1
28,0.4025,H,1,Pointy,-0.5,3,0
28,0.2955,G,1,Pointy,-0.5,2,-1
28,0.6305,C,1,Pointy,-0.5,1,-2
28,0.4295,B,1,Pointy,-0.5,2,-1
28,0.1045,P,1,Pointy,-0.5,3,0
29,0.626,R,1,Pointy,-0.5,4,1
29,0.6055,O,1,Pointy,-0.5,5,2
29,0.458,Y,1,Pointy,-0.5,4,1
29,0.72,H,1,Pointy,-0.5,3,0
29,0.219,G,1,Pointy,-0.5,2,-1
29,0.437,C,1,Pointy,-0.5,1,-2
29,0.4715,B,1,Pointy,-0.5,2,-1
29,0.822,P,1,Pointy,-0.5,3,0
30,0.0675,R,1,Pointy,-0.5,4,1
30,0.4,O,1,Pointy,-0.5,5,2
