Subj,ShapeNameC,ShapeColorC,Condition,Trial,TrialBin,ResponseTime,bodyShape,Response,Correct,totalCorrect,NoticedColorStr,NoticedColorC
2,0.5,-0.5,2,36,1,692,1,1,1,235,noticers,0.5
2,0.5,-0.5,2,37,1,608,1,1,1,235,noticers,0.5
2,0.5,-0.5,2,38,1,1439,2,2,1,235,noticers,0.5
2,0.5,-0.5,2,39,1,605,1,1,1,235,noticers,0.5
2,0.5,-0.5,2,40,1,509,1,1,1,235,noticers,0.5
2,0.5,-0.5,2,41,2,1879,2,2,1,235,noticers,0.5
2,0.5,-0.5,2,42,2,724,1,1,1,235,noticers,0.5
2,0.5,-0.5,2,43,2,607,2,2,1,235,noticers,0.5
2,0.5,-0.5,2,44,2,750,1,1,1,235,noticers,0.5
2,0.5,-0.5,2,45,2,792,1,1,1,235,noticers,0.5
2,0.5,-0.5,2,46,2,704,2,2,1,235,noticers,0.5
2,0.5,-0.5,2,47,2,683,2,2,1,235,noticers,0.5
2,0.5,-0.5,2,48,2,550,2,2,1,235,noticers,0.5
2,0.5,-0.5,2,49,2,568,1,1,1,235,noticers,0.5
2,0.5,-0.5,2,50,2,584,2,2,1,235,noticers,0.5
2,0.5,-0.5,2,51,2,552,2,2,1,235,noticers,0.5
2,0.5,-0.5,2,52,2,858,1,1,1,235,noticers,0.5
2,0.5,-0.5,2,53,2,751,1,1,1,235,noticers,0.5
2,0.5,-0.5,2,54,2,520,2,2,1,235,noticers,0.5
2,0.5,-0.5,2,55,2,698,1,1,1,235,noticers,0.5
2,0.5,-0.5,2,56,2,1142,2,2,1,235,noticers,0.5
2,0.5,-0.5,2,57,2,512,2,2,1,235,noticers,0.5
2,0.5,-0.5,2,58,2,644,2,2,1,235,noticers,0.5
2,0.5,-0.5,2,59,2,706,1,1,1,235,noticers,0.5
2,0.5,-0.5,2,60,2,781,2,2,1,235,noticers,0.5
2,0.5,-0.5,2,61,2,614,1,1,1,235,noticers,0.5
2,0.5,-0.5,2,62,2,996,2,2,1,235,noticers,0.5
2,0.5,-0.5,2,63,2,820,2,1,0,235,noticers,0.5
2,0.5,-0.5,2,64,2,731,1,1,1,235,noticers,0.5
2,0.5,-0.5,2,65,2,694,2,2,1,235,noticers,0.5
2,0.5,-0.5,2,66,2,722,1,1,1,235,noticers,0.5
2,0.5,-0.5,2,67,2,828,2,2,1,235,noticers,0.5
2,0.5,-0.5,2,68,2,1138,1,1,1,235,noticers,0.5
2,0.5,-0.5,2,69,2,700,1,1,1,235,noticers,0.5
2,0.5,-0.5,2,70,2,856,2,2,1,235,noticers,0.5
2,0.5,-0.5,2,71,2,1517,2,2,1,235,noticers,0.5
2,0.5,-0.5,2,72,2,712,1,1,1,235,noticers,0.5
2,0.5,-0.5,2,73,2,835,1,1,1,235,noticers,0.5
2,0.5,-0.5,2,74,2,633,1,1,1,235,noticers,0.5
2,0.5,-0.5,2,75,2,550,1,1,1,235,noticers,0.5
2,0.5,-0.5,2,76,2,568,1,1,1,235,noticers,0.5
2,0.5,-0.5,2,77,2,856,2,2,1,235,noticers,0.5
2,0.5,-0.5,2,78,2,1102,1,1,1,235,noticers,0.5
2,0.5,-0.5,2,79,2,777,1,1,1,235,noticers,0.5
2,0.5,-0.5,2,80,2,722,1,1,1,235,noticers,0.5
2,0.5,-0.5,2,81,3,1255,2,2,1,235,noticers,0.5
2,0.5,-0.5,2,82,3,813,2,2,1,235,noticers,0.5
2,0.5,-0.5,2,83,3,644,1,1,1,235,noticers,0.5
2,0.5,-0.5,2,84,3,1282,2,2,1,235,noticers,0.5
2,0.5,-0.5,2,85,3,647,2,2,1,235,noticers,0.5
2,0.5,-0.5,2,86,3,597,1,1,1,235,noticers,0.5
2,0.5,-0.5,2,87,3,1172,1,1,1,235,noticers,0.5
2,0.5,-0.5,2,88,3,812,1,1,1,235,noticers,0.5
2,0.5,-0.5,2,89,3,644,2,2,1,235,noticers,0.5
2,0.5,-0.5,2,90,3,1506,1,1,1,235,noticers,0.5
2,0.5,-0.5,2,91,3,605,2,2,1,235,noticers,0.5
2,0.5,-0.5,2,92,3,781,2,2,1,235,noticers,0.5
2,0.5,-0.5,2,93,3,789,1,1,1,235,noticers,0.5
2,0.5,-0.5,2,94,3,781,2,2,1,235,noticers,0.5
2,0.5,-0.5,2,95,3,661,2,2,1,235,noticers,0.5
2,0.5,-0.5,2,96,3,595,2,2,1,235,noticers,0.5
2,0.5,-0.5,2,97,3,835,2,2,1,235,noticers,0.5
2,0.5,-0.5,2,98,3,601,2,2,1,235,noticers,0.5
2,0.5,-0.5,2,99,3,760,1,1,1,235,noticers,0.5
2,0.5,-0.5,2,100,3,625,1,1,1,235,noticers,0.5
2,0.5,-0.5,2,101,3,751,2,2,1,235,noticers,0.5
2,0.5,-0.5,2,102,3,1129,1,1,1,235,noticers,0.5
2,0.5,-0.5,2,103,3,691,1,1,1,235,noticers,0.5
2,0.5,-0.5,2,104,3,991,2,2,1,235,noticers,0.5
2,0.5,-0.5,2,105,3,783,1,1,1,235,noticers,0.5
2,0.5,-0.5,2,106,3,775,2,2,1,235,noticers,0.5
2,0.5,-0.5,2,107,3,671,1,1,1,235,noticers,0.5
2,0.5,-0.5,2,108,3,636,2,2,1,235,noticers,0.5
2,0.5,-0.5,2,109,3,986,2,2,1,235,noticers,0.5
2,0.5,-0.5,2,110,3,730,2,2,1,235,noticers,0.5
2,0.5,-0.5,2,111,3,677,2,2,1,235,noticers,0.5
2,0.5,-0.5,2,112,3,849,2,2,1,235,noticers,0.5
2,0.5,-0.5,2,113,3,647,1,1,1,235,noticers,0.5
2,0.5,-0.5,2,114,3,1332,2,2,1,235,noticers,0.5
2,0.5,-0.5,2,115,3,854,1,1,1,235,noticers,0.5
2,0.5,-0.5,2,116,3,603,2,2,1,235,noticers,0.5
2,0.5,-0.5,2,117,3,731,1,1,1,235,noticers,0.5
2,0.5,-0.5,2,118,3,918,1,1,1,235,noticers,0.5
2,0.5,-0.5,2,119,3,792,2,2,1,235,noticers,0.5
2,0.5,-0.5,2,120,3,719,1,1,1,235,noticers,0.5
2,0.5,-0.5,2,121,4,2071,1,1,1,235,noticers,0.5
2,0.5,-0.5,2,122,4,1308,1,1,1,235,noticers,0.5
2,0.5,-0.5,2,123,4,624,2,2,1,235,noticers,0.5
2,0.5,-0.5,2,124,4,702,1,1,1,235,noticers,0.5
2,0.5,-0.5,2,125,4,778,2,2,1,235,noticers,0.5
2,0.5,-0.5,2,126,4,626,2,2,1,235,noticers,0.5
2,0.5,-0.5,2,127,4,656,2,2,1,235,noticers,0.5
2,0.5,-0.5,2,128,4,894,1,1,1,235,noticers,0.5
2,0.5,-0.5,2,129,4,706,1,1,1,235,noticers,0.5
2,0.5,-0.5,2,130,4,605,2,2,1,235,noticers,0.5
2,0.5,-0.5,2,131,4,684,1,1,1,235,noticers,0.5
2,0.5,-0.5,2,132,4,552,1,1,1,235,noticers,0.5
2,0.5,-0.5,2,133,4,617,2,2,1,235,noticers,0.5
2,0.5,-0.5,2,134,4,631,2,2,1,235,noticers,0.5
2,0.5,-0.5,2,135,4,630,1,1,1,235,noticers,0.5
2,0.5,-0.5,2,136,4,629,2,2,1,235,noticers,0.5
2,0.5,-0.5,2,137,4,596,2,2,1,235,noticers,0.5
2,0.5,-0.5,2,138,4,612,1,1,1,235,noticers,0.5
2,0.5,-0.5,2,139,4,659,2,2,1,235,noticers,0.5
2,0.5,-0.5,2,140,4,719,2,2,1,235,noticers,0.5
2,0.5,-0.5,2,141,4,522,2,2,1,235,noticers,0.5
2,0.5,-0.5,2,142,4,637,1,1,1,235,noticers,0.5
2,0.5,-0.5,2,143,4,619,2,2,1,235,noticers,0.5
2,0.5,-0.5,2,144,4,697,2,2,1,235,noticers,0.5
2,0.5,-0.5,2,145,4,693,2,2,1,235,noticers,0.5
2,0.5,-0.5,2,146,4,1393,2,2,1,235,noticers,0.5
2,0.5,-0.5,2,147,4,1377,1,1,1,235,noticers,0.5
2,0.5,-0.5,2,148,4,689,1,1,1,235,noticers,0.5
2,0.5,-0.5,2,149,4,654,1,1,1,235,noticers,0.5
2,0.5,-0.5,2,150,4,587,1,1,1,235,noticers,0.5
2,0.5,-0.5,2,151,4,1035,1,1,1,235,noticers,0.5
2,0.5,-0.5,2,152,4,489,1,1,1,235,noticers,0.5
2,0.5,-0.5,2,153,4,620,2,2,1,235,noticers,0.5
2,0.5,-0.5,2,154,4,603,1,1,1,235,noticers,0.5
2,0.5,-0.5,2,155,4,778,1,1,1,235,noticers,0.5
2,0.5,-0.5,2,156,4,691,1,1,1,235,noticers,0.5
2,0.5,-0.5,2,157,4,639,2,2,1,235,noticers,0.5
2,0.5,-0.5,2,158,4,589,1,1,1,235,noticers,0.5
2,0.5,-0.5,2,159,4,573,1,1,1,235,noticers,0.5
2,0.5,-0.5,2,160,4,573,2,2,1,235,noticers,0.5
2,0.5,-0.5,2,161,5,1005,1,1,1,235,noticers,0.5
2,0.5,-0.5,2,162,5,684,1,1,1,235,noticers,0.5
2,0.5,-0.5,2,163,5,504,1,1,1,235,noticers,0.5
2,0.5,-0.5,2,164,5,556,1,1,1,235,noticers,0.5
