Subj,Ratings,ColorID,Sat.Light,Warmness,WarmnessC,NameStr,NameC
234,0.19125,B,3,2,-1,FILK,0.5
245,0.49625,B,3,2,-1,FILK,0.5
245,0.49625,B,3,2,-1,FILK,0.5
245,0.49625,B,3,2,-1,FILK,0.5
245,0.49625,B,3,2,-1,FILK,0.5
226,0.41,B,3,2,-1,SLUB,-0.5
226,0.41,B,3,2,-1,SLUB,-0.5
226,0.41,B,3,2,-1,SLUB,-0.5
226,0.41,B,3,2,-1,SLUB,-0.5
269,0.41,B,4,2,-1,FILK,0.5
269,0.41,B,4,2,-1,FILK,0.5
269,0.41,B,4,2,-1,FILK,0.5
269,0.41,B,4,2,-1,FILK,0.5
231,0.8025,B,2,2,-1,FILK,0.5
231,0.8025,B,2,2,-1,FILK,0.5
231,0.8025,B,2,2,-1,FILK,0.5
231,0.8025,B,2,2,-1,FILK,0.5
242,0.725,B,2,2,-1,FILK,0.5
242,0.725,B,2,2,-1,FILK,0.5
242,0.725,B,2,2,-1,FILK,0.5
242,0.725,B,2,2,-1,FILK,0.5
230,0.25625,B,3,2,-1,FILK,0.5
230,0.25625,B,3,2,-1,FILK,0.5
230,0.25625,B,3,2,-1,FILK,0.5
230,0.25625,B,3,2,-1,FILK,0.5
246,0.52375,B,3,2,-1,FILK,0.5
246,0.52375,B,3,2,-1,FILK,0.5
246,0.52375,B,3,2,-1,FILK,0.5
246,0.52375,B,3,2,-1,FILK,0.5
234,0.02875,B,4,2,-1,FILK,0.5
234,0.02875,B,4,2,-1,FILK,0.5
234,0.02875,B,4,2,-1,FILK,0.5
234,0.02875,B,4,2,-1,FILK,0.5
245,0.10375,B,4,2,-1,FILK,0.5
245,0.10375,B,4,2,-1,FILK,0.5
245,0.10375,B,4,2,-1,FILK,0.5
245,0.10375,B,4,2,-1,FILK,0.5
226,0.37625,B,4,2,-1,SLUB,-0.5
226,0.37625,B,4,2,-1,SLUB,-0.5
226,0.37625,B,4,2,-1,SLUB,-0.5
226,0.37625,B,4,2,-1,SLUB,-0.5
270,0.645,B,1,2,-1,FILK,0.5
270,0.645,B,1,2,-1,FILK,0.5
270,0.645,B,1,2,-1,FILK,0.5
270,0.645,B,1,2,-1,FILK,0.5
231,0.5175,B,3,2,-1,FILK,0.5
231,0.5175,B,3,2,-1,FILK,0.5
231,0.5175,B,3,2,-1,FILK,0.5
231,0.5175,B,3,2,-1,FILK,0.5
242,0.50125,B,3,2,-1,FILK,0.5
242,0.50125,B,3,2,-1,FILK,0.5
242,0.50125,B,3,2,-1,FILK,0.5
242,0.50125,B,3,2,-1,FILK,0.5
230,0,B,4,2,-1,FILK,0.5
230,0,B,4,2,-1,FILK,0.5
230,0,B,4,2,-1,FILK,0.5
230,0,B,4,2,-1,FILK,0.5
246,0.2125,B,4,2,-1,FILK,0.5
246,0.2125,B,4,2,-1,FILK,0.5
246,0.2125,B,4,2,-1,FILK,0.5
246,0.2125,B,4,2,-1,FILK,0.5
235,0.2575,B,1,2,-1,FILK,0.5
235,0.2575,B,1,2,-1,FILK,0.5
235,0.2575,B,1,2,-1,FILK,0.5
235,0.2575,B,1,2,-1,FILK,0.5
230,1,B,4,2,-1,SLUB,-0.5
230,1,B,4,2,-1,SLUB,-0.5
230,1,B,4,2,-1,SLUB,-0.5
230,1,B,4,2,-1,SLUB,-0.5
227,0.02875,B,1,2,-1,SLUB,-0.5
227,0.02875,B,1,2,-1,SLUB,-0.5
227,0.02875,B,1,2,-1,SLUB,-0.5
227,0.02875,B,1,2,-1,SLUB,-0.5
270,0.84375,B,2,2,-1,FILK,0.5
270,0.84375,B,2,2,-1,FILK,0.5
270,0.84375,B,2,2,-1,FILK,0.5
270,0.84375,B,2,2,-1,FILK,0.5
231,0.48125,B,4,2,-1,FILK,0.5
231,0.48125,B,4,2,-1,FILK,0.5
231,0.48125,B,4,2,-1,FILK,0.5
231,0.48125,B,4,2,-1,FILK,0.5
242,0.2575,B,4,2,-1,FILK,0.5
242,0.2575,B,4,2,-1,FILK,0.5
242,0.2575,B,4,2,-1,FILK,0.5
242,0.2575,B,4,2,-1,FILK,0.5
231,0.5675,B,1,2,-1,FILK,0.5
231,0.5675,B,1,2,-1,FILK,0.5
231,0.5675,B,1,2,-1,FILK,0.5
231,0.5675,B,1,2,-1,FILK,0.5
247,0.7925,B,1,2,-1,FILK,0.5
247,0.7925,B,1,2,-1,FILK,0.5
247,0.7925,B,1,2,-1,FILK,0.5
247,0.7925,B,1,2,-1,FILK,0.5
235,0.595,B,2,2,-1,FILK,0.5
235,0.595,B,2,2,-1,FILK,0.5
235,0.595,B,2,2,-1,FILK,0.5
235,0.595,B,2,2,-1,FILK,0.5
231,0.2975,B,1,2,-1,SLUB,-0.5
231,0.2975,B,1,2,-1,SLUB,-0.5
231,0.2975,B,1,2,-1,SLUB,-0.5
231,0.2975,B,1,2,-1,SLUB,-0.5
227,0.095,B,2,2,-1,SLUB,-0.5
227,0.095,B,2,2,-1,SLUB,-0.5
227,0.095,B,2,2,-1,SLUB,-0.5
227,0.095,B,2,2,-1,SLUB,-0.5
270,0.83,B,3,2,-1,FILK,0.5
270,0.83,B,3,2,-1,FILK,0.5
270,0.83,B,3,2,-1,FILK,0.5
270,0.83,B,3,2,-1,FILK,0.5
232,0.83,B,1,2,-1,FILK,0.5
232,0.83,B,1,2,-1,FILK,0.5
232,0.83,B,1,2,-1,FILK,0.5
232,0.83,B,1,2,-1,FILK,0.5
274,0.73375,B,3,2,-1,SLUB,-0.5
274,0.73375,B,3,2,-1,SLUB,-0.5
274,0.73375,B,3,2,-1,SLUB,-0.5
274,0.73375,B,3,2,-1,SLUB,-0.5
271,0.6975,B,1,2,-1,FILK,0.5
271,0.6975,B,1,2,-1,FILK,0.5
271,0.6975,B,1,2,-1,FILK,0.5
271,0.6975,B,1,2,-1,FILK,0.5
247,0.085,B,2,2,-1,FILK,0.5
247,0.085,B,2,2,-1,FILK,0.5
247,0.085,B,2,2,-1,FILK,0.5
247,0.085,B,2,2,-1,FILK,0.5
235,0.23625,B,3,2,-1,FILK,0.5
235,0.23625,B,3,2,-1,FILK,0.5
235,0.23625,B,3,2,-1,FILK,0.5
235,0.23625,B,3,2,-1,FILK,0.5
231,0.2975,B,2,2,-1,SLUB,-0.5
231,0.2975,B,2,2,-1,SLUB,-0.5
231,0.2975,B,2,2,-1,SLUB,-0.5
231,0.2975,B,2,2,-1,SLUB,-0.5
227,0.68125,B,3,2,-1,SLUB,-0.5
227,0.68125,B,3,2,-1,SLUB,-0.5
227,0.68125,B,3,2,-1,SLUB,-0.5
227,0.68125,B,3,2,-1,SLUB,-0.5
270,0.7075,B,4,2,-1,FILK,0.5
270,0.7075,B,4,2,-1,FILK,0.5
270,0.7075,B,4,2,-1,FILK,0.5
270,0.7075,B,4,2,-1,FILK,0.5
232,0.53875,B,2,2,-1,FILK,0.5
232,0.53875,B,2,2,-1,FILK,0.5
232,0.53875,B,2,2,-1,FILK,0.5
232,0.53875,B,2,2,-1,FILK,0.5
274,0.695,B,4,2,-1,SLUB,-0.5
274,0.695,B,4,2,-1,SLUB,-0.5
274,0.695,B,4,2,-1,SLUB,-0.5
274,0.695,B,4,2,-1,SLUB,-0.5
271,0.52875,B,2,2,-1,FILK,0.5
271,0.52875,B,2,2,-1,FILK,0.5
271,0.52875,B,2,2,-1,FILK,0.5
271,0.52875,B,2,2,-1,FILK,0.5
247,0.15875,B,3,2,-1,FILK,0.5
247,0.15875,B,3,2,-1,FILK,0.5
247,0.15875,B,3,2,-1,FILK,0.5
247,0.15875,B,3,2,-1,FILK,0.5
235,0.4525,B,4,2,-1,FILK,0.5
235,0.4525,B,4,2,-1,FILK,0.5
235,0.4525,B,4,2,-1,FILK,0.5
235,0.4525,B,4,2,-1,FILK,0.5
231,0.36,B,3,2,-1,SLUB,-0.5
231,0.36,B,3,2,-1,SLUB,-0.5
231,0.36,B,3,2,-1,SLUB,-0.5
231,0.36,B,3,2,-1,SLUB,-0.5
227,0.98875,B,4,2,-1,SLUB,-0.5
227,0.98875,B,4,2,-1,SLUB,-0.5
227,0.98875,B,4,2,-1,SLUB,-0.5
227,0.98875,B,4,2,-1,SLUB,-0.5
236,0.32,B,2,2,-1,FILK,0.5
236,0.32,B,2,2,-1,FILK,0.5
236,0.32,B,2,2,-1,FILK,0.5
236,0.32,B,2,2,-1,FILK,0.5
232,0.4575,B,3,2,-1,FILK,0.5
232,0.4575,B,3,2,-1,FILK,0.5
232,0.4575,B,3,2,-1,FILK,0.5
232,0.4575,B,3,2,-1,FILK,0.5
275,0.54875,B,1,2,-1,SLUB,-0.5
275,0.54875,B,1,2,-1,SLUB,-0.5
275,0.54875,B,1,2,-1,SLUB,-0.5
275,0.54875,B,1,2,-1,SLUB,-0.5
271,0.3425,B,3,2,-1,FILK,0.5
271,0.3425,B,3,2,-1,FILK,0.5
271,0.3425,B,3,2,-1,FILK,0.5
271,0.3425,B,3,2,-1,FILK,0.5
247,0.26625,B,4,2,-1,FILK,0.5
247,0.26625,B,4,2,-1,FILK,0.5
247,0.26625,B,4,2,-1,FILK,0.5
247,0.26625,B,4,2,-1,FILK,0.5
236,0.43625,B,1,2,-1,FILK,0.5
236,0.43625,B,1,2,-1,FILK,0.5
236,0.43625,B,1,2,-1,FILK,0.5
236,0.43625,B,1,2,-1,FILK,0.5
231,0.55875,B,4,2,-1,SLUB,-0.5
231,0.55875,B,4,2,-1,SLUB,-0.5
231,0.55875,B,4,2,-1,SLUB,-0.5
231,0.55875,B,4,2,-1,SLUB,-0.5
228,0,B,1,2,-1,SLUB,-0.5
228,0,B,1,2,-1,SLUB,-0.5
228,0,B,1,2,-1,SLUB,-0.5
228,0,B,1,2,-1,SLUB,-0.5
236,0.37375,B,3,2,-1,FILK,0.5
236,0.37375,B,3,2,-1,FILK,0.5
236,0.37375,B,3,2,-1,FILK,0.5
236,0.37375,B,3,2,-1,FILK,0.5
232,0.33375,B,4,2,-1,FILK,0.5
232,0.33375,B,4,2,-1,FILK,0.5
