Subj,TypicalityStr,TypicalityC,Trial,TrialBin,stimulus,Correct,totalCorrect,NoticedColor,UsedColor
16379,Saw P,0.5,730,6,img/0/Point-59.png,1,175,1,0
16894,Saw P,0.5,730,6,img/0/Point-67.png,1,147,0,1
16973,Saw P,0.5,730,6,img/0/Curvy-42.png,1,174,1,0
17031,Saw NP,-0.5,730,6,img/1/Point-60.png,1,173,0,0
17288,Saw NP,-0.5,730,6,img/1/Curvy-6.png,1,179,0,1
17551,Saw NP,-0.5,730,6,img/1/Point-85.png,1,173,0,1
17817,Saw P,0.5,730,6,img/0/Point-17.png,1,175,0,0
18034,Saw NP,-0.5,730,6,img/1/Point-46.png,1,175,0,0
18421,Saw P,0.5,730,6,img/0/Curvy-48.png,1,173,0,0
18491,Saw P,0.5,730,6,img/0/Point-41.png,1,163,0,0
18502,Saw P,0.5,730,6,img/0/Curvy-87.png,1,154,0,0
19059,Saw NP,-0.5,730,6,img/1/Curvy-36.png,1,170,0,0
19111,Saw NP,-0.5,730,6,img/1/Point-40.png,1,155,1,0
19220,Saw NP,-0.5,730,6,img/1/Point-79.png,1,150,0,0
19632,Saw NP,-0.5,730,6,img/1/Curvy-33.png,1,177,0,0
19791,Saw P,0.5,730,6,img/0/Point-69.png,1,170,1,0
10453,Saw NP,-0.5,729,6,img/1/Curvy-34.png,1,171,0,0
10528,Saw NP,-0.5,729,6,img/1/Point-23.png,1,178,0,0
10567,Saw NP,-0.5,729,6,img/1/Curvy-22.png,1,175,0,0
10656,Saw P,0.5,729,6,img/0/Curvy-62.png,1,171,0,0
10785,Saw NP,-0.5,729,6,img/1/Point-19.png,1,172,0,0
10889,Saw NP,-0.5,729,6,img/1/Point-66.png,1,172,0,0
10897,Saw P,0.5,729,6,img/0/Point-21.png,1,159,1,0
10970,Saw NP,-0.5,729,6,img/1/Point-62.png,1,175,0,0
11056,Saw P,0.5,729,6,img/0/Curvy-42.png,1,171,0,0
11270,Saw NP,-0.5,729,6,img/1/Curvy-80.png,0,135,0,0
11327,Saw NP,-0.5,729,6,img/1/Curvy-28.png,1,177,0,0
11343,Saw NP,-0.5,729,6,img/1/Curvy-46.png,1,169,1,0
11373,Saw NP,-0.5,729,6,img/1/Point-75.png,1,177,1,0
11482,Saw NP,-0.5,729,6,img/1/Curvy-36.png,1,166,0,0
11498,Saw P,0.5,729,6,img/0/Curvy-28.png,1,172,0,0
11548,Saw P,0.5,729,6,img/0/Point-50.png,1,171,0,0
11657,Saw P,0.5,729,6,img/0/Point-2.png,1,174,0,0
11771,Saw P,0.5,729,6,img/0/Curvy-84.png,1,173,0,0
11798,Saw P,0.5,729,6,img/0/Point-19.png,1,168,0,0
11917,Saw NP,-0.5,729,6,img/1/Point-25.png,1,174,0,0
11938,Saw NP,-0.5,729,6,img/1/Point-68.png,1,176,1,0
11988,Saw P,0.5,729,6,img/0/Point-16.png,1,173,1,0
12132,Saw NP,-0.5,729,6,img/1/Point-51.png,1,164,0,0
12549,Saw NP,-0.5,729,6,img/1/Curvy-52.png,1,173,1,0
12642,Saw NP,-0.5,729,6,img/1/Point-86.png,1,166,1,0
12729,Saw P,0.5,729,6,img/0/Point-89.png,1,176,1,0
